CustomerID,Age,Gender,AnnualIncome,SpendingScore,PurchaseFrequency,AvgTransactionValue,TotalSpend,Recency
50192,56,Male,112,97,8,36,26308,116
50193,50,Female,48,4,2,313,23154,166
50194,18,Male,197,3,17,78,35920,2
50195,44,Male,73,61,2,208,16927,54
50196,69,Female,17,96,3,415,9816,93
50197,30,Male,31,4,18,427,33571,7
50198,58,Male,92,65,15,436,13806,177
50199,20,Male,60,12,5,470,9982,40
50200,56,Female,180,13,17,381,31115,45
50201,23,Female,49,34,14,489,40004,132
50202,25,Female,143,59,1,225,37796,107
50203,44,Male,126,93,14,133,22516,34
50204,26,Male,171,73,9,25,6783,8
50205,54,Female,146,31,5,135,2348,32
50206,50,Female,75,71,4,23,6244,146
50207,68,Male,111,13,1,48,3556,168
50208,59,Female,159,54,3,208,5388,75
50209,61,Female,170,2,11,117,585,37
50210,41,Female,192,33,16,277,16011,36
50211,32,Female,104,50,11,477,4433,10
50212,49,Female,150,7,10,362,29119,70
50213,49,Male,176,18,12,320,6446,118
50214,41,Female,73,51,5,399,1935,162
50215,58,Female,32,8,10,49,19141,95
50216,69,Male,109,55,13,356,13886,72
50217,66,Male,169,76,19,278,37790,145
50218,66,Male,30,43,7,78,34146,123
50219,69,Male,24,59,16,161,14622,61
50220,29,Female,118,30,6,467,33847,146
50221,56,Female,90,59,10,196,18089,36
50222,19,Female,164,9,10,439,38265,161
50223,20,Female,30,92,11,361,3857,151
50224,66,Male,26,68,10,466,10697,38
50225,54,Male,89,39,14,250,16856,158
50226,66,Female,193,81,15,236,35863,144
50227,34,Female,143,11,7,437,36063,104
50228,66,Female,41,2,13,213,18190,92
50229,19,Female,26,23,11,276,35415,6
50230,19,Male,44,63,7,127,39464,133
50231,45,Female,23,22,11,326,27627,92
50232,40,Male,67,61,14,301,1524,1
50233,54,Male,68,26,17,465,10449,14
50234,49,Male,179,12,16,403,20486,83
50235,50,Male,184,32,1,471,23794,31
50236,18,Female,63,9,9,231,19706,179
50237,36,Female,18,69,9,394,26930,121
50238,19,Female,93,90,10,72,18313,79
50239,61,Female,193,71,19,405,38322,147
50240,43,Male,105,93,15,14,3094,102
50241,49,Male,93,33,16,343,28139,32
50242,23,Male,173,24,11,301,49096,57
50243,49,Female,117,89,17,154,47763,31
50244,21,Male,125,95,19,451,34929,58
50245,28,Male,72,93,13,159,12816,154
50246,34,Male,96,69,6,168,32128,48
50247,55,Male,146,38,15,419,37830,123
50248,41,Female,36,11,16,278,19259,41
50249,22,Male,145,32,4,456,18523,153
50250,69,Male,93,64,8,460,29349,175
50251,51,Female,113,72,7,328,49365,121
50252,23,Female,189,20,17,20,48193,61
50253,39,Female,52,34,16,78,45982,132
50254,28,Male,175,42,2,201,47483,159
50255,65,Male,190,8,17,111,43170,120
50256,33,Male,131,66,4,461,27389,96
50257,50,Male,40,21,14,41,14840,112
50258,26,Female,150,79,8,211,4770,41
50259,23,Male,64,70,5,275,40677,26
50260,33,Male,52,5,5,117,35914,19
50261,46,Female,152,67,5,63,45779,87
50262,20,Female,56,43,5,448,36150,25
50263,37,Female,51,16,3,347,39532,47
50264,53,Male,168,99,6,199,21090,8
50265,36,Male,154,73,1,248,20662,3
50266,43,Male,63,35,8,448,34875,33
50267,20,Male,156,83,13,352,36959,112
50268,36,Male,60,43,6,347,35631,156
50269,37,Female,177,98,18,300,8327,22
50270,49,Female,43,39,18,332,34850,99
50271,24,Male,26,10,16,330,16912,98
50272,69,Male,130,74,8,282,37335,30
50273,58,Male,96,20,17,51,12662,47
50274,50,Male,58,1,8,452,10597,164
50275,57,Male,16,6,15,207,21301,59
50276,56,Female,31,53,10,386,45396,14
50277,35,Female,152,46,1,130,5800,73
50278,57,Female,32,66,9,404,581,105
50279,18,Male,36,38,17,343,11984,14
50280,28,Male,97,33,1,293,15224,152
50281,45,Female,72,67,9,304,9825,49
50282,42,Female,67,77,14,191,36849,171
50283,67,Male,15,35,5,109,41076,3
50284,40,Female,75,79,6,20,28217,23
50285,48,Female,173,45,5,380,28180,148
50286,47,Male,45,22,4,242,12636,109
50287,59,Female,80,68,16,451,43364,143
50288,52,Female,161,17,16,126,6947,43
50289,24,Female,67,5,10,433,18783,71
50290,33,Male,109,85,14,397,20116,161
50291,43,Female,164,57,13,73,29247,55
50292,65,Female,37,88,4,185,35697,126
50293,69,Female,157,95,14,463,8987,82
50294,66,Male,168,40,9,495,8238,41
50295,19,Male,145,30,3,92,4110,146
50296,18,Female,101,42,10,424,36464,131
50297,65,Male,162,7,15,11,44279,3
50298,29,Female,139,71,19,308,40470,100
50299,22,Male,123,91,2,226,36768,144
50300,54,Male,54,88,2,251,8362,171
50301,49,Female,135,19,9,306,11462,23
50302,26,Female,53,41,4,69,32498,143
50303,58,Female,134,34,5,377,35791,127
50304,52,Male,32,22,2,212,34460,58
50305,36,Female,183,52,7,439,30470,168
50306,65,Male,169,91,19,49,19900,118
50307,33,Male,157,6,6,324,43469,166
50308,20,Female,51,74,16,54,37905,117
50309,37,Male,19,95,14,307,24001,82
50310,41,Female,87,25,12,128,16056,102
50311,50,Male,149,66,6,414,13563,134
50312,41,Female,55,10,13,140,21168,108
50313,69,Male,24,74,15,459,12252,46
50314,28,Male,168,26,14,404,27989,6
50315,66,Female,82,5,8,289,13883,123
50316,25,Male,38,86,11,59,39362,92
50317,53,Female,92,68,9,97,8372,148
50318,55,Male,183,98,12,30,39425,19
50319,57,Male,159,71,6,418,36264,14
50320,37,Male,123,50,19,397,22368,65
50321,52,Female,38,17,3,241,40191,96
50322,65,Female,169,11,1,390,15898,157
50323,42,Female,21,53,15,52,11984,159
50324,52,Female,87,50,15,440,31672,153
50325,42,Female,121,8,5,32,31926,46
50326,46,Male,113,92,11,453,24748,16
50327,35,Male,136,97,1,225,28331,108
50328,63,Female,26,62,10,286,12651,139
50329,35,Male,99,89,11,203,38528,18
50330,19,Male,17,85,7,224,17558,108
50331,52,Male,93,76,17,188,6476,69
50332,33,Male,99,90,12,152,6424,120
50333,58,Female,24,29,4,323,40086,88
50334,53,Male,47,99,12,35,8384,90
50335,50,Female,60,44,3,227,21755,16
50336,21,Female,73,45,18,485,37773,102
50337,50,Male,66,29,12,68,26307,134
50338,31,Female,20,88,19,355,20400,125
50339,38,Male,144,59,13,54,15508,120
50340,65,Male,43,15,16,459,5333,76
50341,37,Male,133,70,8,428,13896,73
50342,25,Female,182,96,6,233,14248,177
50343,24,Female,111,44,10,359,15760,41
50344,20,Female,82,98,10,265,10604,106
50345,34,Male,171,36,6,119,13048,121
50346,50,Male,74,84,8,329,32076,89
50347,65,Male,138,57,18,349,8973,118
50348,29,Female,98,64,17,259,16443,156
50349,68,Male,55,76,10,86,6462,159
50350,39,Male,127,99,2,292,8018,66
50351,39,Female,79,38,12,96,16314,46
50352,63,Female,93,17,10,259,15228,108
50353,47,Female,77,27,9,217,20141,4
50354,55,Male,190,17,16,168,35350,150
50355,55,Male,162,63,7,21,22265,173
50356,62,Male,132,11,9,234,16814,156
50357,68,Female,51,64,6,367,39422,138
50358,25,Female,78,39,10,310,18467,177
50359,44,Female,100,2,7,393,10303,95
50360,44,Female,147,66,18,41,6231,106
50361,51,Male,48,54,11,63,4376,80
50362,38,Male,53,29,1,459,10347,51
50363,47,Male,81,45,19,251,37451,171
50364,50,Male,76,88,5,378,34336,134
50365,45,Male,102,88,6,124,2466,121
50366,64,Male,166,80,7,480,17235,153
50367,50,Male,145,31,4,297,35078,4
50368,22,Male,123,49,16,408,14975,152
50369,65,Female,103,9,10,113,36066,91
50370,36,Female,81,27,15,320,2955,54
50371,21,Male,93,56,13,306,40516,3
50372,52,Female,192,78,8,136,20632,175
50373,66,Male,43,45,13,49,30659,30
50374,34,Male,88,89,7,81,13759,76
50375,61,Female,46,43,17,244,17761,41
50376,45,Male,101,22,4,379,15581,106
50377,47,Male,53,99,7,442,40717,59
50378,46,Male,151,33,16,479,25818,40
50379,63,Male,115,27,2,256,19140,45
50380,23,Male,156,40,14,303,12076,150
50381,52,Male,82,26,14,256,47977,15
50382,58,Male,162,83,8,321,11327,17
50383,54,Female,42,45,6,43,42783,108
50384,41,Female,28,45,7,138,7796,25
50385,46,Male,186,26,7,19,18668,43
50386,66,Female,91,70,2,177,19055,179
50387,63,Male,130,67,4,281,21362,61
50388,48,Male,181,6,13,225,30667,173
50389,52,Male,42,28,10,439,18969,131
50390,50,Male,103,67,9,417,8357,164
50391,69,Female,46,13,15,249,42454,28
50392,38,Female,151,63,12,23,45228,107
50393,49,Female,170,13,10,99,1118,124
50394,40,Female,109,77,19,432,15302,173
50395,50,Male,31,1,5,27,4947,84
50396,20,Female,131,40,7,349,30475,149
50397,35,Male,91,37,11,178,42763,27
50398,42,Male,69,31,16,65,27771,83
50399,59,Female,24,17,13,173,22165,100
50400,48,Male,94,9,4,161,8767,76
50401,20,Female,148,64,16,99,40834,35
50402,57,Female,190,57,13,294,24207,176
50403,63,Female,130,13,1,31,6750,97
50404,41,Female,183,37,4,276,42568,100
50405,67,Female,93,14,15,306,18687,151
50406,49,Male,74,75,16,442,31394,13
50407,64,Female,56,25,4,255,22219,158
50408,39,Female,130,95,17,148,22500,148
50409,40,Male,123,78,11,61,24792,6
50410,19,Female,85,57,5,76,33400,147
50411,44,Female,170,71,13,94,33204,74
50412,59,Male,116,88,12,259,506,10
50413,19,Male,27,42,3,340,12920,21
50414,43,Female,29,42,4,401,32991,127
50415,34,Male,50,47,10,424,44469,56
50416,57,Female,29,44,9,132,42173,57
50417,50,Male,131,41,10,211,34483,130
50418,26,Female,89,3,13,15,17535,39
50419,60,Female,70,90,1,346,5607,61
50420,65,Female,109,90,12,495,614,173
50421,56,Male,146,1,11,208,37816,110
50422,46,Female,66,79,8,233,26199,156
50423,59,Male,152,11,14,22,5171,146
50424,43,Female,187,7,14,15,15345,14
50425,52,Female,98,12,17,460,5185,59
50426,67,Female,43,38,19,420,24553,109
50427,42,Female,67,54,17,130,7850,147
50428,41,Female,171,67,6,54,21954,41
50429,30,Male,165,53,14,371,13164,140
50430,24,Male,199,90,18,35,43607,148
50431,53,Male,192,94,17,13,31772,162
50432,62,Female,35,32,6,302,23105,125
50433,37,Female,126,45,5,286,27967,36
50434,18,Male,185,51,13,293,22041,21
50435,25,Female,152,37,16,219,17033,56
50436,63,Female,90,59,9,297,44095,41
50437,33,Female,44,54,12,368,40296,127
50438,31,Male,139,18,10,190,27952,169
50439,29,Male,65,1,13,262,13337,171
50440,68,Male,175,21,19,426,23212,106
50441,40,Male,160,28,16,291,12908,86
50442,32,Male,92,16,17,154,15251,38
50443,45,Female,36,48,16,449,27375,146
50444,51,Female,78,28,14,125,19535,8
50445,19,Female,35,22,16,358,44878,148
50446,49,Female,143,83,15,477,1737,106
50447,40,Male,121,1,12,39,36136,146
50448,39,Male,130,95,5,386,5887,108
50449,68,Female,138,42,11,251,16552,130
50450,42,Male,157,98,5,14,40771,170
50451,39,Female,50,70,11,383,41344,64
50452,39,Female,61,92,2,271,34424,44
50453,66,Female,196,3,19,115,34462,179
50454,69,Female,46,95,17,133,5260,101
50455,59,Male,188,80,19,455,28181,106
50456,23,Female,68,81,12,403,9679,65
50457,32,Male,175,44,5,335,29723,65
50458,60,Female,181,27,12,147,27014,118
50459,54,Female,37,51,16,115,10265,124
50460,50,Female,185,24,1,222,34718,108
50461,25,Female,197,20,2,309,26020,95
50462,61,Male,16,32,10,65,10638,167
50463,61,Female,180,99,2,141,23071,136
50464,22,Male,171,13,10,278,49525,67
50465,56,Female,124,43,18,131,37280,111
50466,21,Female,138,20,1,211,19861,76
50467,23,Female,81,2,5,217,18605,49
50468,62,Male,85,68,12,284,1596,164
50469,49,Female,178,91,17,463,373,7
50470,69,Female,43,60,19,99,44554,15
50471,47,Female,133,89,18,199,16113,85
50472,64,Female,179,4,13,274,24135,153
50473,52,Female,127,96,3,55,11280,38
50474,57,Male,59,17,10,321,47740,37
50475,69,Male,30,1,14,339,35214,122
50476,33,Female,45,33,8,49,19662,16
50477,30,Female,176,30,10,76,34667,1
50478,67,Male,64,5,2,122,15163,175
50479,59,Female,136,12,13,348,19675,37
50480,47,Male,185,32,5,71,20368,45
50481,36,Female,198,38,11,236,2044,142
50482,34,Female,29,17,1,183,39365,162
50483,36,Male,190,58,10,143,45853,159
50484,45,Female,63,40,13,294,49076,83
50485,43,Male,186,96,4,284,40488,172
50486,54,Male,24,24,10,123,10142,23
50487,43,Male,34,12,12,117,33860,94
50488,40,Female,84,95,14,152,8606,81
50489,26,Male,22,19,3,66,20013,66
50490,29,Male,187,29,2,303,13371,139
50491,18,Female,48,85,19,286,23329,177
50492,18,Female,193,90,11,60,30503,58
50493,64,Female,18,52,7,432,20228,29
50494,51,Female,122,92,18,480,27391,83
50495,49,Female,181,17,14,285,21923,179
50496,65,Female,38,73,7,243,17189,129
50497,42,Male,69,21,7,251,47640,133
50498,57,Female,40,60,9,267,16512,115
50499,62,Male,39,98,12,246,32703,34
50500,18,Female,50,75,6,41,29600,125
50501,33,Male,85,20,7,376,40011,78
50502,56,Male,26,53,4,357,17761,19
50503,22,Female,143,80,16,257,45606,88
50504,39,Female,130,63,7,141,21765,168
50505,46,Male,192,57,8,272,18067,81
50506,20,Female,167,29,8,268,29821,95
50507,29,Female,147,1,3,290,20869,72
50508,43,Male,97,82,9,377,23897,145
50509,33,Male,20,59,19,259,9937,38
50510,68,Male,40,64,13,274,32235,171
50511,54,Female,127,86,7,224,46921,40
50512,39,Female,117,72,15,224,48387,173
50513,46,Female,134,71,19,291,9888,168
50514,31,Female,197,89,2,497,13174,120
50515,45,Male,181,94,12,329,24848,88
50516,22,Female,23,98,8,27,38326,90
50517,64,Male,59,44,8,481,23143,30
50518,66,Female,28,48,13,356,28812,163
50519,47,Female,126,75,1,11,43386,172
50520,63,Male,69,15,10,10,42776,132
50521,69,Female,151,35,9,313,14783,133
50522,22,Female,29,23,2,473,21386,176
50523,29,Male,51,53,19,456,25763,66
50524,33,Female,192,45,14,372,26891,95
50525,43,Male,141,85,10,225,1791,27
50526,43,Male,131,92,10,173,15658,152
50527,65,Male,98,13,8,200,6101,56
50528,38,Male,86,34,14,84,41047,45
50529,56,Female,110,38,13,35,41747,68
50530,53,Female,125,70,6,271,9234,156
50531,50,Female,163,68,13,291,36617,5
50532,47,Male,199,5,3,230,28392,108
50533,54,Female,119,40,13,52,15316,47
50534,40,Female,161,70,19,131,18149,133
50535,27,Female,72,21,16,138,35897,5
50536,22,Female,109,28,4,274,33689,176
50537,53,Male,132,3,3,292,2004,121
50538,51,Male,20,23,15,80,12811,73
50539,69,Female,18,72,15,382,854,47
50540,48,Male,57,19,18,383,8536,155
50541,27,Female,107,75,7,268,48077,4
50542,36,Female,56,50,5,454,42856,177
50543,49,Female,17,74,8,210,23037,91
50544,18,Male,143,58,10,139,13429,65
50545,22,Female,197,92,1,389,27487,96
50546,62,Male,29,20,11,339,17476,80
50547,21,Male,61,92,3,90,27340,87
50548,33,Female,99,93,3,263,4490,61
50549,41,Male,188,72,15,424,28330,148
50550,33,Male,72,83,17,74,28322,100
50551,19,Female,53,53,18,387,46867,119
50552,66,Male,145,85,8,155,37881,109
50553,45,Male,172,82,13,143,23920,136
50554,49,Female,49,9,10,111,43936,82
50555,44,Female,199,4,3,498,7550,13
50556,37,Male,171,41,14,51,42296,165
50557,41,Female,192,25,13,376,2723,43
50558,29,Female,66,34,3,205,34628,92
50559,67,Male,132,73,13,369,7830,178
50560,52,Male,28,9,9,269,4712,20
50561,50,Female,177,82,16,108,34826,48
50562,50,Male,170,75,8,397,25486,100
50563,68,Female,44,13,12,74,8529,19
50564,60,Female,104,9,12,306,11952,69
50565,54,Male,149,80,19,436,11248,17
50566,29,Male,181,4,17,232,40303,156
50567,20,Female,109,34,15,254,14271,36
50568,18,Female,83,7,18,192,17317,166
50569,50,Female,177,15,7,412,6720,82
50570,57,Female,141,38,13,158,41554,70
50571,27,Male,66,75,19,451,5491,116
50572,60,Female,156,96,16,423,19101,154
50573,61,Male,77,91,11,125,15306,1
50574,46,Male,50,94,5,400,36295,81
50575,30,Female,105,52,2,462,32623,130
50576,29,Male,166,81,1,329,6324,164
50577,48,Male,182,83,16,267,13631,35
50578,63,Female,171,7,5,380,46063,127
50579,19,Male,67,45,7,460,49148,27
50580,68,Male,123,59,9,393,33214,46
50581,67,Female,164,21,4,88,21908,148
50582,52,Female,86,28,19,240,7787,8
50583,40,Female,29,3,15,366,3338,93
50584,34,Female,127,14,7,128,49693,72
50585,43,Female,83,2,18,83,31264,114
50586,25,Female,130,29,5,18,47195,91
50587,46,Female,18,18,13,288,28544,26
50588,43,Male,89,37,3,279,2634,103
50589,27,Male,160,45,6,63,49693,62
50590,43,Female,56,45,12,389,16691,94
50591,51,Male,44,24,18,54,39788,161
50592,68,Male,157,46,18,234,21677,61
50593,58,Female,84,12,4,25,46581,148
50594,24,Male,197,53,14,221,38194,68
50595,21,Female,195,45,14,209,8002,29
50596,67,Male,30,32,1,250,13072,46
50597,62,Female,125,18,11,111,10916,165
50598,28,Male,118,13,9,491,28307,101
50599,46,Male,121,4,18,104,10752,90
50600,53,Male,137,23,5,374,13665,133
50601,42,Female,176,62,10,194,6120,88
50602,38,Male,41,54,15,145,41768,127
50603,53,Male,27,74,10,34,5668,107
50604,27,Female,169,55,16,434,15325,66
50605,54,Female,87,69,4,327,14277,143
50606,26,Male,100,40,4,342,27417,46
50607,41,Male,45,14,8,411,40664,8
50608,52,Male,17,98,6,59,43507,165
50609,66,Male,44,28,11,178,2939,101
50610,52,Female,163,72,13,299,14045,142
50611,65,Male,113,80,19,109,5260,133
50612,53,Male,148,95,11,379,25061,73
50613,35,Female,174,71,2,90,10862,123
50614,66,Male,184,67,3,21,8885,43
50615,56,Male,174,29,15,217,17601,177
50616,49,Male,113,61,13,86,3690,123
50617,41,Female,100,68,10,84,3014,172
50618,40,Female,181,9,5,471,43149,48
50619,49,Male,78,17,11,179,47648,158
50620,54,Male,132,49,14,320,37882,161
50621,29,Female,172,63,15,357,10758,165
50622,66,Male,128,84,13,452,13853,178
50623,30,Male,173,78,3,188,44610,7
50624,40,Female,101,46,9,97,26432,171
50625,42,Female,54,93,8,446,27518,40
50626,52,Female,175,13,15,474,49941,32
50627,58,Male,39,45,1,274,41794,105
50628,47,Male,178,53,2,231,28816,94
50629,34,Male,166,17,9,494,24983,111
50630,66,Male,109,47,17,12,18817,89
50631,37,Female,181,62,9,127,25752,77
50632,65,Male,60,50,1,145,26840,9
50633,42,Male,152,43,8,475,17897,137
50634,39,Female,46,68,5,196,24753,64
50635,30,Female,111,84,11,39,12741,173
50636,36,Male,178,75,6,76,17554,91
50637,66,Female,170,86,17,320,37674,95
50638,53,Female,158,72,18,427,39557,93
50639,29,Male,30,28,18,388,49257,94
50640,58,Male,32,45,5,308,31915,166
50641,36,Male,150,41,5,421,42639,174
50642,29,Male,89,94,19,430,9562,124
50643,26,Female,15,97,13,226,13371,70
50644,24,Female,139,97,7,167,3385,103
50645,45,Male,52,36,14,80,7464,64
50646,31,Male,59,91,8,327,48709,95
50647,48,Female,95,84,3,119,26175,163
50648,69,Male,143,33,4,294,15729,12
50649,36,Male,46,25,10,380,39418,48
50650,64,Male,150,19,4,267,16782,63
50651,33,Male,132,47,18,99,36216,173
50652,22,Female,54,85,12,370,1347,6
50653,52,Male,198,33,15,66,39718,45
50654,29,Female,88,67,13,450,32229,90
50655,42,Male,125,14,12,307,4906,101
50656,69,Male,117,79,8,58,29792,160
50657,38,Female,117,33,9,194,30774,104
50658,53,Male,88,42,9,208,4235,131
50659,40,Female,178,86,17,27,49208,127
50660,33,Male,128,65,1,207,27058,130
50661,56,Male,137,95,6,498,10117,20
